Incident ID,Application ID,Incident Creation Timestamp,Resolution Timestamp,Incident Title,Incident Description,Root Cause,Resolution,Severity
INC9991324567,4356-1(Online Banking),15/10/2025 12:00,15/10/2025 15:00,Customer is not able to initiate payment via online banking,Customers are not able to initiate payments via online banking.,Benificary name returned as part of verification of payee service exceeded the maximum number of allowed characters,"1. Identify which step in the payment flow is failing
2. Verify the log of the corresponding layer identified in step 1
3. Based on the error information in the logs, root cause was linked to the database column length which was not able to accomodate the beneficiary name
4. Increase the column length ",P3C
INC9994589764,4356-1(Online Banking),18/10/2025 16:00,18/10/2025 18:00,Online Banking unavailable for the Customer,The customers are unable to log on into Online Banking application,Issue with interfacing system,"1. As a first step, verify apache access logs to see the http response code
2. if the response code is not 200, then verify the backend service (tomcat) to check calls to which interfacing system is failing
3. Post identifying the details of interfacing system, contact the respective interfacing support team for fixing the issue",P3H
INC9990124501,4356-1(Online Banking),20/10/2025 10:00,20/10/2025 12:00,Public Website was failing for the Customer,Public Website module started failing due to issue with dweb certificate,One of the internet facing certificate got expired,"Application support team checked the certificate expiry date and generated new certificate from certificate generating portal and installed to resolve the issue
1. Please login dweb XXX site, and click TLS Configuration it will open new page then verify certificate expiry date. certificate will be placed automatically from portal.
2. Please check when the certificate generated and placed. if there was no deployment after generate Please triger deployment in dweb XXX .",P3H
INC9990124501,4356-1(Online Banking),6/11/25 10:00,6/11/25 12:00,Multiple Instant payments were rejected from Sales Portal,Instant payments for the customers were getting rejected while trying from Sales Portal,Checked the logs from the effectedmicroservice and found that the payments are rejected when the instant is flagged from 'rent portfolio' to 'e-account',We made a contact with the L3 team with the logs and the issue was fixed over a hotfix change,P3H
INC0029186066,1435-2(Intranet Portal),22/10/2025 11:00,22/10/2025 15:30,TradingBook not accessible from Operational portal,TradingBook not accessible from Operational portal due to issue with TradingBook microservice,"There was an ERROR in the ABC microservice - The content of element type ""global""  must match with ""(validator*,contant*)""",Restart of the TradingBook microservice in instance CS245 was done to resolve the issue,P3M
INC9995412654,1435-2(Intranet Portal),23/10/2025 13:00,23/10/2025 14:00,Customers are unable to access portfolio,Post DR activities the trading module started failing which is blocking customers to consult their portfolio,There were issues with DNS entry from Platform support team,Platform support team worked with 3rd party vendor and fixed the DNS entries post which transactions are taking place,P3H
INC9994875698,1435-2(Intranet Portal),25/10/2025 10:00,25/10/2025 11:00,Portfolio not accessible by the customers,Trading module started failing due to issue in trading microservice,We can see there are multiple timeout error in XXX microservice effecting the DB customer to consult their portfolio,"We have restarted the effected microservice to bring the service back
1. Please login splunk portal and verify if any timeout error in XXX microservice, if error is showing please stop & start the service.
2. After start please verify if application is working or not",P3M
INC9994587132,1435-2(Intranet Portal),28/10/2025 15:00,28/10/2025 15:30,Customers are intermittently getting blocled to consult portfolio,Portfolio was not reachable for the customers due to issue at one of the 3rd party end,GetBondorderStatus call was failing at the 3rd party end which was blocking the customer to consult portfolio,A JIRA was raised towards the concerned 3rd party after which they have solved the issue consulting with their IT team,P3H
INC9990123546,7458-1(Mybank),31/10/2025 8:00,31/10/2025 9:00,Mybank New Trading module was failing in Production,Trading module was failing for Mobile application which was disrupting the customers to consult portfolio from Mobile App,Checked the logs  and found time out error from from one of the microservice - No reply from Tasc/OdataAdapter Hence timed out,"We have restarted the effected microservice to bring the service back
1. Please login splunk portal and verify if any timeout error in XXX microservice, if error is showing please stop & start the service.
2. After start please verify if application is working or not",P3H
INC9994510254,7458-1(Mybank),1/11/25 9:00,1/11/25 10:00,MyBank Trading module was failing intermittently,There was an issue with one of the microservices which was effecting to perform trading via Mobile App,While investigating we noticed that there is an issue in  Get Accessible portfolio call at Primary node of the microservice which was effecting the  trading via Mobile App,We have stopped the Primary node of effected microservice and started the service at DR node which has solved the issue,P3M
INC9994512036,7458-1(Mybank),5/11/25 2:00,5/11/25 3:00,Portfolio unavailable to the customers from MyBank App,Customers are unable to consult portfolio from Mobile Application due to issue at one of the 3rd Party,From one of the microservice logs we could see that there were multiple calls are failing due to timeout issue from the 3rd party vendor end,"A JIRA was raised towards that 3rd Party after which they have solved the issue consulting with their IT team
1. Please login Jira portal and submit the ticket to third party vendor.",P3H
INC9991543598,9292-1 (AS400),10/10/25 17:08,11/10/25 20:00,Currency conversion rates for the day were not available,Customers are not able to see the conversion rates ,Finance team has not uploaded the latest file in the respective folder,"1. Application support has to contact the finance team to place the file and upload it to AS400 system.
2. After the finance team places the file in the respective path, it will get automatically processed",P3M
INC9991628354,9292-1 (AS400),13/10/2025  08:00,13/10/2025  10:00,Job xxxJH701_1 (daily banking fee for customers) got struck and could not proceed further,Daily Banking fee for customers are not charged and the entries in core banking (AS400) data base are not updated,System detected a duplicate file from the past days and caused the job not to process further. ,"Application support team has performed following steps to correct the situation 
1. Navigate through point 1 - 1, from command line, type in DSPSAVSTP
2. Key in file name GTINBV 
3. Check for the record counts of last 2 files received. 
4. The number of records in both files were different and no duplicates found.
5. Navigate through point 1 - 1, type in command WRKACTJOB 
6. Search for job xxxJH701_1, reply to the job with 'C' to Continue and further steps executed without any issues",P3L
INC9991739463,9292-1 (AS400),16/10/2025  10:00,16/10/2025  12:00,Job xxxJAQ01_1 (Prorata interest calculation for customers) got struck and could not proceed further,Prorata interest calculation for the banking customers not calculated in AS400 system ,"The joblogs spool file got full and it could not get extended, the detailed logs were not printed in the system ","Application support team has performed following steps to correct the situation 
1.  Navigate through point 1 - 1, type in command WRKACTJOB 
2. Search for job xxxxAQ01_1, reply to the job with '999999' to Continue and further steps executed without any issues",P3L
INC9991840572,9292-1 (AS400),17/10/2025  12:00,16/10/2025  14:00,Job xxxxA301_1 (transaction related to branch) got struck and could not proceed further,Customer transactions through bank branch are not updated / fed to the core banking AS400 system   ,The file member got full and could not be extended and branch transaction details are not fed into core banking system,"Application support team has performed following steps to correct the situation 
1.  Navigate through point 1 - 1, type in command WRKACTJOB 
2. Search for job xxxxA301_1, reply to the job with '9999' to Continue and further steps executed without any issues",P3L
INC9991959681,9292-1 (AS400),20/10/2025  14:00,20/10/2025  16:00,Job xxxxCF01_1 (active unit of work for the jobs) got struck and could not proceed further,Active unit of work is holding blip and not allowing it to change,Due to user online banking session goes idle causing the blip to stop and doesn't allow to change,"Support team has killed the active unit of work with following steps 
1. Navigate through point 7 - 1 - 1 - 1 
2. Press F7 and take option 2 to select the AUW
3. Take option 4 to delete the selected AUW
4. Navigatae to point 1 - 1. Type in command WRKACTJOB, the job was replied with OK to continue. 
Job completed with further steps",P3L
INC9992060792,9292-1 (AS400),22/10/2025  16:00,22/10/2025  18:00,Job xxx_BILGTI (On boarding fee in GTI for the customers) got struck and could not proceed further,On boarding fee in GTI for the customers are not able to process in core banking AS400 system,"There was an object lock on a file, it was user using the file at the same time the job tried accessing the file causing this issue.",Application support team contacted the user to log off from the production session and the job was replied with 'R' to retry. The job was retried and completed without issue and processed the onboarding fee,P3L
INC9992161803,9292-1 (AS400),24/10/2025 18:00,24/10/2025  20:00,Job xxx_RECKON (high profile customer transaction) got struck and could not proceed further,High profile banking customer transaction (Kondor +) not processed,Due to missing file / incorrect file with dates were placed by operations teams causing the issue in core banking AS400,"1. Application support team has requested user to check the respective path to place / to correct the file. 
2. Once the confirmation is received on the  availability of correct file, navigate to point 1 - 1, search for the job 
3. The job was cancelled with option 'C' and re-processed with giving option 'R'",P3L
INC9992272992,9292-1 (AS400),28/10/2025 20:00,28/10/2025 22:00,Job xxxXFBEXT (credit card transaction) got stuck and could not proceed further,Credit card transaction of multilot received from 3rd party vendor will not be updated in core banking AS400 system,The file member got full and could not be extended and credit card transaction details are not fed into core banking system,"Application support team has performed following steps to correct the situation 
1.  Navigate through point 1 - 1, type in command WRKACTJOB 
2. Search for job xxxxXFBEXT, reply to the job with '9999' to Continue and further steps executed without any issues",P3L
INC9992383013,9292-1 (AS400),30/10/2025 22:00,31/10/2025 08:00,"Job xxx_SRxxx (fetch portfolio, customer details) got stuck and could not proceed further",Request from front end to fetch the customer portfolio and other details are not sent to front end screen ,"Due to incorrect data received from front end, the core banking back end could not process the details and send back to front end","Application support team has performed following steps to correct the situation 
1.  Navigate through point 1 - 1, type in command WRKACTJOB 
2. Search for job xxx_SRxxx, reply to the job with 'D' dump 3 times.
3. Navigate to point 5 - 1 - 11 to start the monitor program SRxxx",P3L
INC9992440552,9292-1 (AS400),3/11/25 10:00,3/11/25 0:00,Job xxx_PRTxxx (list of entered transaction) got struck and could not proceed further,The list for transaction entered through walkin and banking customers not calculated in AS400 system ,"The joblogs spool file got full and it could not get extended, the detailed logs were not printed in the system ","Application support team has performed following steps to correct the situation 
1.  Navigate through point 1 - 1, type in command WRKACTJOB 
2. Search for job xxx_PRTxxx, reply to the job with '999999' to Continue and further steps executed without any issues",
